name,brand,category,price,ram,storage,processor,battery,display,camera,rating,description,features
iPhone 15,Apple,Mobile,79900,6GB,128GB,Apple A16 Bionic,3349mAh,6.1" Super Retina XDR,48MP+12MP,4.5,Latest iPhone with Dynamic Island.,"Dynamic Island,Excellent camera,Long support"
Samsung Galaxy S24 Ultra,Samsung,Mobile,134999,12GB,256GB,Snapdragon 8 Gen 3,5000mAh,6.8" Dynamic AMOLED 2X 120Hz,200MP+50MP+12MP+10MP,4.7,Ultimate Android flagship with S Pen and AI features.,"S Pen,200MP camera,Galaxy AI"
Samsung Galaxy S24,Samsung,Mobile,79999,8GB,128GB,Exynos 2400,4000mAh,6.2" FHD+ Dynamic AMOLED 2X 120Hz,50MP+12MP+10MP,4.4,Premium compact Android phone with Galaxy AI.,"Compact flagship,Galaxy AI,Good display"
OnePlus 12,OnePlus,Mobile,69999,16GB,256GB,Snapdragon 8 Gen 3,5400mAh,6.82" QHD+ LTPO AMOLED 120Hz,50MP+48MP+64MP,4.5,Fast flagship with incredible charging speed.,"Fast charging, Hasselblad camera,Smooth display"
OnePlus Nord CE 3,OnePlus,Mobile,25999,8GB,128GB,Snapdragon 782G,5000mAh,6.7" FHD+ AMOLED 120Hz,50MP+8MP+2MP,4.2,Budget phone with premium features.,"Budget king,120Hz display,Good battery"
Xiaomi 14 Pro,Xiaomi,Mobile,74999,12GB,256GB,Snapdragon 8 Gen 3,4880mAh,6.73" QHD+ LTPO AMOLED 120Hz,50MP+50MP+50MP,4.5,Leica-powered flagship with pro cameras.,"Leica camera,Great build, MIUI"
Redmi Note 13 Pro,Xiaomi,Mobile,24999,8GB,128GB,Snapdragon 7s Gen 2,5100mAh,6.67" FHD+ AMOLED 120Hz,200MP+8MP+2MP,4.3,Best mid-range phone with 200MP camera.,"200MP camera,AMOLED,Long battery"
Google Pixel 8 Pro,Google,Mobile,106999,12GB,128GB,Tensor G3,5050mAh,6.7" LTPO OLED 120Hz,50MP+48MP+48MP,4.6,Pure Android flagship with best-in-class camera.,"Best camera,Pure Android,7 years update"
Google Pixel 8a,Google,Mobile,52999,8GB,128GB,Tensor G3,4492mAh,6.1" OLED 120Hz,64MP+13MP,4.3,Affordable Pixel with flagship camera.,"Pixel camera,Clean UI,Compact"
Nothing Phone 2,Nothing,Mobile,44999,12GB,256GB,Snapdragon 8+ Gen 1,4700mAh,6.7" FHD+ LTPO OLED 120Hz,50MP+50MP,4.3,Glyph interface phone with unique design.,"Glyph lights,Unique design,Clean OS"
Vivo X100 Pro,Vivo,Mobile,89999,12GB,256GB,MediaTek Dimensity 9300,5400mAh,6.78" QHD+ AMOLED 120Hz,50MP+50MP+64MP,4.5,Zeiss-powered camera flagship.,"Zeiss camera, Periscope zoom,Flagship chip"
Oppo Find X7 Ultra,Oppo,Mobile,99999,16GB,256GB,Snapdragon 8 Gen 3,5000mAh,6.82" QHD+ LTPO AMOLED 120Hz,50MP+50MP+50MP+50MP,4.6,Ultra-premium camera phone with quad camera.,"Quad camera, Hasselblad,Luxury design"
Realme GT 6T,Realme,Mobile,30999,8GB,128GB,Snapdragon 7+ Gen 3,5500mAh,6.78" FHD+ LTPO AMOLED 120Hz,50MP+8MP+2MP,4.3,Performance-focused mid-range phone.,"Gaming perf,Big battery,Fast charging"
Moto G85,Motorola,Mobile,17999,8GB,128GB,Snapdragon 6s Gen 3,5000mAh,6.67" FHD+ pOLED 120Hz,50MP+8MP,4.0,Stock Android phone with great battery.,"Stock Android,Clean UI,Reliable"
Sony Xperia 1 VI,Sony,Mobile,119990,12GB,256GB,Snapdragon 8 Gen 3,5000mAh,6.5" QHD+ HDR OLED 120Hz,48MP+12MP+12MP,4.4,Sony flagship with pro camera and headphone jack.,"Headphone jack,Pro camera, SD card"
Sony WH-1000XM5,Sony,Headphone,34990,0,0,0,30 hours,30mm,0,4.7,Industry-leading noise cancellation with superior sound quality.,"Best ANC,Comfortable,Hi-Res Audio"
Sony WH-CH720N,Sony,Headphone,9990,0,0,0,35 hours,30mm,0,4.2,Affordable wireless ANC headphones.,"Budget ANC,Lightweight,Long battery"
Bose QuietComfort Ultra,Bose,Headphone,42990,0,0,0,24 hours,35mm,0,4.7,Ultimate comfort with immersive spatial audio.,"Spatial audio,Best comfort, premium ANC"
Bose QuietComfort 45,Bose,Headphone,32990,0,0,0,22 hours,40mm,0,4.5,Classic quiet comfort headphones.,"Great ANC,Comfortable,Reliable"
Apple AirPods Max,Apple,Headphone,59900,0,0,0,20 hours,40mm,0,4.4,Premium over-ear with Apple integration.,"Premium build,Easy pairing,Great ANC"
Apple AirPods Pro 2,Apple,Headphone,24900,0,0,0,6 hours(30h case),11mm,0,4.7,Best wireless earbuds with H2 chip adaptive audio.,"Best in-ear,Adaptive audio,Find My"
Samsung Galaxy Buds 3 Pro,Samsung,Headphone,19999,0,0,0,6 hours(29h case),10.5mm,0,4.4,Smart earbuds with Galaxy AI features.,"Galaxy AI,Voice control,Good fit"
Sennheiser Momentum 4,Sennheiser,Headphone,29990,0,0,0,60 hours,42mm,0,4.5,Audiophile-grade wireless with massive battery.,"Audio quality,60h battery, Premium design"
Sennheiser HD 560S,Sennheiser,Headphone,14990,0,0,0,0,38mm,0,4.4,Reference open-back for audiophiles.,"Open-back,Reference sound,Lightweight"
JBL Tune 770NC,JBL,Headphone,7999,0,0,0,30 hours,40mm,0,4.1,Affordable wireless ANC with JBL signature.,"Bassy sound,Good ANC, Budget"
JBL Tune Beam,JBL,Headphone,5999,0,0,0,8 hours(32h case),12mm,0,4.0,Good budget TWS earbuds.,"Budget TWS,Good bass,Compact"
Marshall Major V,Marshall,Headphone,12999,0,0,0,100 hours,40mm,0,4.2,Rock-inspired design with massive battery.,"100h battery,Ic,nic design,Great mids"
Beats Studio Pro,Beats,Headphone,34900,0,0,0,40 hours,40mm,0,4.3,Apple-owned brand with great sound and style.,"Style focused,USB-C,Good ANC"
Nothing Ear 2,Nothing,Headphone,9999,0,0,0,6 hours(30h case),11.6mm,0,4.3,Transparent design earbuds with great sound.,"Transparent design,LDAC,Customizable"
Boat Airdopes 512,boAt,Headphone,1999,0,0,0,6 hours(30h case),10mm,0,3.8,Best-selling budget TWS in India.,"Budget TWS,IPX5,Bass boost"
Oppo Enco Air 3 Pro,Oppo,Headphone,5499,0,0,0,7 hours(30h case),12.4mm,0,4.2,Great mid-range TWS with ANC.,"Mid-range ANC,Good sound,Comfort"
Samsung Galaxy Watch 6 Classic,Samsung,Smartwatch,39999,2GB,16GB,Exynos W930,425mAh,1.47" Super AMOLED,0,4.5,Classic rotating bezel smartwatch with health tracking.,"Rotating bezel,Samsung Pay,Health tracking"
Samsung Galaxy Watch FE,Samsung,Smartwatch,19999,1.5GB,16GB,Exynos W920,247mAh,1.2" Super AMOLED,0,4.2,Affordable Samsung smartwatch with core features.,"Budget Samsung,BioActive sensor,Good watch"
Apple Watch Ultra 2,Apple,Smartwatch,89900,0,64GB,Apple S9,36 hours,1.92" LTPO OLED Retina,0,4.8,Rugged adventure watch with precision dual-frequency GPS.,"Titanium case,Action button,Dive ready"
Apple Watch Series 9,Apple,Smartwatch,45900,0,64GB,Apple S9,18 hours,1.9" LTPO OLED Retina,0,4.6,Latest Apple Watch with S9 chip and double tap.,"Double tap,Fast charging,Precision GPS"
Amazfit T-Rex Ultra,Amazfit,Smartwatch,29999,0,0,0,20 days,1.39" AMOLED,0,4.3,Rugged outdoor smartwatch with 20-day battery.,"20 day battery,Rugged build,Outdoor GPS"
Amazfit Band 7,Amazfit,Smartwatch,3999,0,0,0,18 days,1.47" AMOLED,0,4.0,Budget fitness band with AMOLED display.,"Fitness tracking,AMOLED,Ultra budget"
OnePlus Watch 2,OnePlus,Smartwatch,24999,2GB,32GB,Snapdragon W5 Gen 1,500mAh,1.43" AMOLED,0,4.4,Dual-engine architecture for 100 hours battery.,"Wear OS,100h battery,Dual engine"
Fitbit Versa 4,Fitbit,Smartwatch,26999,0,0,0,6 days,1.58" AMOLED,0,4.2,Health-first smartwatch with Google integration.,"Health focus,GPS,Google Wallet"
Fitbit Charge 6,Fitbit,Smartwatch,14999,0,0,0,7 days,1.04" AMOLED,0,4.1,Fitness tracker with ECG and stress management.,"ECG,Built-in GPS,Stress tracking"
Garmin Venu 3,Garmin,Smartwatch,55990,0,0,0,14 days,1.4" AMOLED,0,4.6,Advanced health monitoring and GPS smartwatch.,"AMOLED,Garmin ecosystem,Sleep coach"
Garmin Forerunner 265,Garmin,Smartwatch,49990,0,0,0,13 days,1.3" AMOLED,0,4.7,Best running watch with training metrics and AMOLED.,"Running focus,Train metrics,AMOLED"
Garmin Instinct 2,Garmin,Smartwatch,27990,0,0,0,28 days,0.9" MIP,0,4.4,Rugged outdoor watch with solar option.,"Solar option,Rugged,28 day battery"
Noise ColorFit Pro 5,Noise,Smartwatch,4999,0,0,0,7 days,1.85" AMOLED,0,3.9,Best selling smartwatch in India with Bluetooth calling.,"Bluetooth calling,AMOLED,Budget king"
Fire-Boltt Ninja 3,Fire-Boltt,Smartwatch,2499,0,0,0,7 days,1.83" HD,0,3.7,Ultra-budget smartwatch with Bluetooth calling.,"Cheapest,BTCalling,HD display"
Forerunner 165 Music,Garmin,Smartwatch,34999,0,0,0,11 days,1.2" AMOLED,0,4.3,Garmin's budget AMOLED running watch.,"AMOLED,Music storage,Coach feature"
HP Victus 16,HP,Laptop,78990,16GB,512GB SSD,Intel i5-13420H,Up to 7 hours,16.1" FHD 144Hz,720p HD,4.2,Budget gaming laptop with solid performance.,"Gaming budget,144Hz display,Good thermals"
Alienware M18,Alienware,Laptop,269990,32GB,1TB SSD,Intel i9-13980HX,Up to 5 hours,18" QHD+ 165Hz,1080p HD,4.3,Extreme gaming laptop with massive screen.,"Extreme gaming,Big screen,Cherry MX"
LG Gram 17,LG,Laptop,129990,16GB,512GB SSD,Intel i7-1360P,Up to 12 hours,17" WQXGA IPS,1080p HD,4.4,Ultra-light 17-inch laptop under 1.35kg.,"Ultralight,Big screen,Great battery"
MacBook Pro 16 M3 Max,Apple,Laptop,349990,36GB,1TB SSD,Apple M3 Max,Up to 22 hours,16.2" Liquid Retina XDR,1080p,4.8,The most powerful MacBook ever.,"Max power,M3 Max,Studio quality"
Realme Buds Wireless 3,Realme,Headphone,1999,0,0,0,12 hours,11.2mm,0,4.0,Budget neckband with fast charging.,"Neckband,Fast charge,Deep bass"
Wireless Pro,boAt,Headphone,1299,0,0,0,8 hours(30h case),13mm,0,3.8,Super budget TWS with gaming mode.,"Gaming mode,67ms latency,IPX4"
Nothing Ear 3,Nothing,Headphone,14999,0,0,0,8 hours(36h case),11mm,0,4.4,Premium transparent earbuds with LDAC.,"LDAC, transparent design, Powerful ANC"
Samsung Galaxy Buds 2 Pro,Samsung,Headphone,15999,0,0,0,5 hours(29h case),10mm,0,4.4,Compact earbuds with Hi-Fi 24bit audio.,"Hi-Fi audio,Compact,SmartThings"
OnePlus Nord Buds 3,OnePlus,Headphone,3299,0,0,0,8 hours(38h case),12.4mm,0,4.1,Budget TWS with fast charging and good sound.,"Budget TWS,38h battery,IP55"
Realme Watch 3 Pro,Realme,Smartwatch,5999,0,0,0,10 days,1.78" AMOLED,0,4.1,Feature-packed budget smartwatch with AMOLED.,"AMOLED,Bluetooth calling,Sport modes"
boAt Wave Elevate,boAt,Smartwatch,3499,0,0,0,7 days,1.95" AMOLED,0,3.9,Large display budget smartwatch.,"Big AMOLED,BTCalling,Crown navig"
Pixel Watch 3,Google,Smartwatch,39999,2GB,32GB,Snapdragon W5,420mAh,1.2" AMOLED,0,4.3,Pixel integration with Fitbit health tracking.,"Fitbit health,Pixel integration,Google AI"
Garmin Lily 2,Garmin,Smartwatch,17990,0,0,0,5 days,1.0" AMOLED,0,4.2,Fashion-forward smartwatch for women.,"Fashion design,Women's health,Garmin quality"
Nothing Watch Pro,Nothing,Smartwatch,12999,0,0,0,14 days,1.5" AMOLED,0,4.0,Minimalist design smartwatch with great battery.,"Minimal design,14 day battery,Heart rate"
Xiaomi Watch S3,Xiaomi,Smartwatch,9999,0,0,0,14 days,1.43" AMOLED,0,4.1,Interchangeable bezel smartwatch with HyperOS.,"Interchangeable bezel,HyperOS,GPS"
Dell XPS 13,Dell,Laptop,119990,16GB,512GB SSD,Intel i7-1365U,Up to 12 hours,13.4" FHD+ IPS,720p HD,4.4,Ultra-portable premium laptop.,"Ultra-portable,InfinityEdge,Premium"
ASUS Zenbook 14,ASUS,Laptop,89990,16GB,512GB SSD,Intel i7-1355U,Up to 10 hours,14" 2.8K OLED,1080p,4.5,OLED ultrabook with incredible display.,"OLED quality,Ultrabook,ErgoSense"
ThinkPad E14 Gen 5,Lenovo,Laptop,57990,8GB,512GB SSD,Intel i5-13420H,Up to 9 hours,14" FHD IPS,720p HD,4.1,Business laptop at affordable price.,"Business,Reliable,Mil-Spec tested"
iQOO Z9,iQOO,Mobile,19999,8GB,128GB,MediaTek Dimensity 7200,5000mAh,6.67" FHD+ AMOLED 120Hz,50MP+8MP,4.2,Gaming focused budget phone with great chip.,"Gaming phone,120Hz,Good chipset"
Poco X6 Pro,Poco,Mobile,26999,12GB,256GB,MediaTek Dimensity 8300 Ultra,5000mAh,6.67" FHD+ AMOLED 120Hz,64MP+8MP+2MP,4.3,"Flagship killer, great performance phone.","Flagship killer,Gaming powerhouse,Great performance"
Asus ROG Phone 8 Pro,ASUS,Mobile,79999,16GB,512GB,Snapdragon 8 Gen 3,5500mAh,6.78" FHD+ AMOLED 165Hz,50MP+13MP+5MP,4.5,Ultimate gaming phone with shoulder triggers.,"Gaming phone,165Hz display,Air triggers"
